Order_Date,Product,Category,Sales,Quantity,Discount
2026-01-15,Laptop,Electronics,75000,2,5
2026-01-20,Headphones,Electronics,5000,10,0
2026-01-25,Mouse,Electronics,1500,15,0
2026-01-28,Desk,Office,12000,2,15
2026-02-10,Phone,Electronics,40000,3,10
2026-02-18,Chair,Office,8000,4,10
2026-02-22,Keyboard,Electronics,3000,8,5
2026-02-25,Monitor,Electronics,22000,3,10
2026-03-05,Tablet,Electronics,30000,4,0
2026-03-15,USB Cable,Electronics,800,20,0
2026-03-22,Office Chair,Office,15000,5,20
2026-03-28,Webcam,Electronics,4500,6,5
2026-04-02,Printer,Office,25000,2,15
2026-04-10,Speakers,Electronics,6000,4,10
2026-04-15,Desk Lamp,Office,2000,8,5
2026-04-20,External Hard Drive,Electronics,8000,3,0
2026-04-25,Notebooks,Office,500,25,0
2026-05-01,Gaming Mouse,Electronics,3500,7,10
2026-05-05,Standing Desk,Office,35000,1,20
2026-05-10,Wireless Earbuds,Electronics,12000,5,15
